Date,RLR
1919-08-01, 6879.
1919-09-01, 6902.
1919-10-01, 6915.
1919-11-01, 7010.
1919-12-01, 6872.
1920-01-01, 6854.
1920-02-01, 6751.
1920-03-01, 6812.
1920-04-01, 6904.
1920-05-01, 6861.
1920-06-01, 6865.
1920-07-01, 6859.
1920-08-01, 6877.
1920-09-01, 6891.
1920-10-01, 7012.
1920-11-01, 6982.
1920-12-01, 6932.
1921-01-01, 6774.
1921-02-01, 6866.
1921-03-01, 6746.
1921-04-01, 6871.
1921-05-01, 6865.
1921-06-01, 6877.
1921-07-01, 6868.
1921-08-01, 6884.
1921-09-01, 6893.
1921-10-01, 6913.
1921-11-01, 6941.
1921-12-01, 6927.
1922-01-01, 6909.
1922-02-01, 6901.
1922-03-01, 6918.
1922-04-01, 6903.
1922-05-01, 6826.
1922-06-01, 6880.
1922-07-01, 6818.
1922-08-01, 6866.
1922-09-01, 6872.
1922-10-01, 6992.
1922-11-01, 6870.
1922-12-01, 6918.
1923-01-01, 6836.
1923-02-01, 6915.
1923-03-01, 6898.
1923-04-01, 6923.
1923-05-01, 6815.
1923-06-01, 6813.
1923-07-01, 6825.
1923-08-01, 6865.
1923-09-01, 6820.
1923-10-01, 6863.
1923-11-01, 6949.
1923-12-01, 6923.
1924-01-01, 6913.
1924-02-01, 6905.
1924-03-01, 6884.
1924-04-01, 6848.
1924-05-01, 6852.
1924-06-01, 6843.
1924-07-01, 6863.
1924-08-01, 6833.
1924-09-01, 6872.
1924-10-01, 6887.
1924-11-01, 6919.
1924-12-01, 6866.
1925-01-01, 6746.
1925-02-01, 6818.
1925-03-01, 6853.
1925-04-01, 6846.
1925-05-01, 6894.
1925-06-01, 6880.
1925-07-01, 6867.
1925-08-01, 6840.
1925-09-01, 6835.
1925-10-01, 6934.
1925-11-01, 6976.
1925-12-01, 6930.
1926-01-01, 6875.
1926-02-01, 6902.
1926-03-01, 6814.
1926-04-01, 6867.
1926-05-01, 6916.
1926-06-01, 6887.
1926-07-01, 6870.
1926-08-01, 6854.
1926-09-01, 6882.
1926-10-01, 6986.
1926-11-01, 7127.
1926-12-01, 6902.
1927-01-01, 6907.
1927-02-01, 6867.
1927-03-01, 6879.
1927-04-01, 6904.
1927-05-01, 6871.
1927-06-01, 6895.
1927-07-01, 6884.
1927-08-01, 6873.
1927-09-01, 6883.
1927-10-01, 6909.
1927-11-01, 7049.
1927-12-01, 7088.
1928-01-01, 6837.
1928-02-01, 6788.
1928-03-01, 6915.
1928-04-01, 7008.
1928-05-01, 6926.
1928-06-01, 6908.
1928-07-01, 6898.
1928-08-01, 6959.
1928-09-01, 6924.
1928-10-01, 6920.
1928-11-01, 6954.
1928-12-01, 6906.
1929-01-01, 6845.
1929-02-01, 6850.
1929-03-01, 6834.
1929-04-01, 6863.
